   # => (atn / l / ml / ms)
   0 => (  1 / 0 / +0 / +1)
   1 => (  1 / 1 / -1 / +1)
   2 => (  1 / 1 / +0 / +1)
   3 => (  1 / 1 / +1 / +1)
   4 => (  1 / 2 / -2 / +1)
   5 => (  1 / 2 / -1 / +1)
   6 => (  1 / 2 / +0 / +1)
   7 => (  1 / 2 / +1 / +1)
   8 => (  1 / 2 / +2 / +1)
   9 => (  1 / 3 / -3 / +1)
  10 => (  1 / 3 / -2 / +1)
  11 => (  1 / 3 / -1 / +1)
  12 => (  1 / 3 / +0 / +1)
  13 => (  1 / 3 / +1 / +1)
  14 => (  1 / 3 / +2 / +1)
  15 => (  1 / 3 / +3 / +1)
  16 => (  1 / 0 / +0 / -1)
  17 => (  1 / 1 / -1 / -1)
  18 => (  1 / 1 / +0 / -1)
  19 => (  1 / 1 / +1 / -1)
  20 => (  1 / 2 / -2 / -1)
  21 => (  1 / 2 / -1 / -1)
  22 => (  1 / 2 / +0 / -1)
  23 => (  1 / 2 / +1 / -1)
  24 => (  1 / 2 / +2 / -1)
  25 => (  1 / 3 / -3 / -1)
  26 => (  1 / 3 / -2 / -1)
  27 => (  1 / 3 / -1 / -1)
  28 => (  1 / 3 / +0 / -1)
  29 => (  1 / 3 / +1 / -1)
  30 => (  1 / 3 / +2 / -1)
  31 => (  1 / 3 / +3 / -1)
  32 => (  2 / 0 / +0 / +1)
  33 => (  2 / 1 / -1 / +1)
  34 => (  2 / 1 / +0 / +1)
  35 => (  2 / 1 / +1 / +1)
  36 => (  2 / 2 / -2 / +1)
  37 => (  2 / 2 / -1 / +1)
  38 => (  2 / 2 / +0 / +1)
  39 => (  2 / 2 / +1 / +1)
  40 => (  2 / 2 / +2 / +1)
  41 => (  2 / 3 / -3 / +1)
  42 => (  2 / 3 / -2 / +1)
  43 => (  2 / 3 / -1 / +1)
  44 => (  2 / 3 / +0 / +1)
  45 => (  2 / 3 / +1 / +1)
  46 => (  2 / 3 / +2 / +1)
  47 => (  2 / 3 / +3 / +1)
  48 => (  2 / 0 / +0 / -1)
  49 => (  2 / 1 / -1 / -1)
  50 => (  2 / 1 / +0 / -1)
  51 => (  2 / 1 / +1 / -1)
  52 => (  2 / 2 / -2 / -1)
  53 => (  2 / 2 / -1 / -1)
  54 => (  2 / 2 / +0 / -1)
  55 => (  2 / 2 / +1 / -1)
  56 => (  2 / 2 / +2 / -1)
  57 => (  2 / 3 / -3 / -1)
  58 => (  2 / 3 / -2 / -1)
  59 => (  2 / 3 / -1 / -1)
  60 => (  2 / 3 / +0 / -1)
  61 => (  2 / 3 / +1 / -1)
  62 => (  2 / 3 / +2 / -1)
  63 => (  2 / 3 / +3 / -1)
